,Date,Incident
3,"Daily Service Report for Tuesday, November 17, 2015","
7:38 a.m. A Shady Grove-bound Red Line train at White Flint was expressed for schedule adherence/improved train spacing.    "
4,"Daily Service Report for Tuesday, November 17, 2015","
7:41 a.m. A Shady Grove-bound Red Line train at Rockville was expressed for schedule adherence/improved train spacing.    "
5,"Daily Service Report for Tuesday, November 17, 2015","
8:13 a.m. A Shady Grove-bound Red Line train at Twinbrook was offloaded due to an equipment problem. Passengers experienced a 6-minute delay.    "
6,"Daily Service Report for Tuesday, November 17, 2015","
9:50 a.m. A New Carrollton-bound Orange Line train at East Falls Church was delayed 6 minutes due to a medical emergency.     "
7,"Daily Service Report for Tuesday, November 17, 2015","
12:09 p.m. A New Carrollton-bound Orange Line train at Stadium-Armory was offloaded due to a brake problem. Passengers experienced a 12-minute delay.    "
8,"Daily Service Report for Tuesday, November 17, 2015","
3:27 p.m. A Largo Town Center-bound Blue Line train at McPherson Square was offloaded due to a medical emergency.  Passengers experienced a 10-minute delay.    "
9,"Daily Service Report for Tuesday, November 17, 2015","
3:47 p.m. A Glenmont-bound Red Line train at Twinbrook was offloaded due to a door problem. Passengers experienced a 5-minute delay.    "
10,"Daily Service Report for Tuesday, November 17, 2015","
5:18 p.m. A Vienna-bound Orange Line train at Ballston was expressed for schedule adherence/improved train spacing.    "
11,"Daily Service Report for Tuesday, November 17, 2015","
5:41 p.m. A Largo Town Center-bound Silver Line train at Wiehle-Reston East was delayed 5 minutes due to an operational problem.    "
12,"Daily Service Report for Tuesday, November 17, 2015","
6:12 p.m. A Shady Grove-bound Red Line train at Twinbrook was offloaded due to a brake problem. Passengers experienced an 8-minute delay.    "
13,"Daily Service Report for Tuesday, November 17, 2015","
6:15 p.m. A Largo Town Center-bound Silver Line train at Ballston was expressed for schedule adherence/improved train spacing.    "
14,"Daily Service Report for Tuesday, November 17, 2015","
6:18 p.m. A Glenmont-bound Red Line train at Shady Grove was delayed 8 minutes due to an operational problem.    "
15,"Daily Service Report for Tuesday, November 17, 2015","
10:02 p.m. A Glenmont-bound Red Line train at Grosvenor was delayed 4 minutes due to a medical emergency.     "
16,"Daily Service Report for Tuesday, November 17, 2015","
"
17,"Daily Service Report for Tuesday, November 17, 2015",
18,"Daily Service Report for Tuesday, November 17, 2015","Report Archives

"
0,"Daily Service Report for Monday, November 16, 2015",5:31 a.m. A Shady Grove-bound Red Line train at Rhode Island Avenue was offloaded due to a brake problem. Passengers experienced an 8-minute delay.    
1,"Daily Service Report for Monday, November 16, 2015","
6:53 a.m. A Greenbelt-bound Yellow Line train at Gallery Place was offloaded due to a brake problem. Passengers experienced a 4-minute delay.    "
2,"Daily Service Report for Monday, November 16, 2015","
7:04 a.m. A Huntington-bound Yellow Line train at Mt. Vernon Square was rerouted to Greenbelt for schedule adherence/improved train spacing. Passengers experienced a 6-minute delay.    "
3,"Daily Service Report for Monday, November 16, 2015","
7:34 a.m. A Wiehle-Reston East-bound Silver Line train at Greensboro did not service the station due to an operational problem.  Passengers experienced an 8-minute delay.    "
4,"Daily Service Report for Monday, November 16, 2015","
7:47 a.m. A Greenbelt-bound Green Line train at Mt. Vernon Square did not service the station due to an operational problem.  Passengers experienced a 6-minute delay.    "
5,"Daily Service Report for Monday, November 16, 2015","
8:00 a.m. A Shady Grove-bound Red Line train at Farragut North was offloaded due to a brake problem. Passengers experienced a 3-minute delay.    "
6,"Daily Service Report for Monday, November 16, 2015","
8:03 a.m. A Greenbelt-bound Yellow Line train at Gallery Place was offloaded due to a brake problem. Passengers experienced a 4-minute delay.    "
7,"Daily Service Report for Monday, November 16, 2015","
8:04 a.m. A Huntington-bound Yellow Line train at Mt. Vernon Square was rerouted to Greenbelt for schedule adherence/improved train spacing. Passengers experienced a 6-minute delay.    "
8,"Daily Service Report for Monday, November 16, 2015","
8:18 a.m. A Glenmont-bound Red Line train at Forest Glen was expressed for schedule adherence/improved train spacing.    "
9,"Daily Service Report for Monday, November 16, 2015","
8:37 a.m. A Shady Grove-bound Red Line train at NoMa-Gallaudet was offloaded due to a brake problem. Passengers experienced a 5-minute delay.    "
10,"Daily Service Report for Monday, November 16, 2015","
9:22 a.m. A Glenmont-bound Red Line train at Union Station was offloaded due to a door problem. Passengers experienced a 5-minute delay.    "
11,"Daily Service Report for Monday, November 16, 2015","
3:40 p.m. A Shady Grove-bound Red Line train at Rockville was offloaded due to a brake problem. Passengers experienced an 8-minute delay.    "
12,"Daily Service Report for Monday, November 16, 2015","
4:02 p.m. A Glenmont-bound Red Line train at Wheaton was expressed for schedule adherence/improved train spacing.    "
13,"Daily Service Report for Monday, November 16, 2015","
4:37 p.m. A Vienna-bound Orange Line train at Dunn Loring was expressed for schedule adherence/improved train spacing.    "
14,"Daily Service Report for Monday, November 16, 2015","
4:39 p.m. A Shady Grove-bound Red Line train at Metro Center was offloaded due to a door problem. Passengers experienced a 7-minute delay.    "
15,"Daily Service Report for Monday, November 16, 2015","
4:40 p.m. A Silver Spring-bound Red Line train at Tenleytown was expressed for schedule adherence/improved train spacing.     "
16,"Daily Service Report for Monday, November 16, 2015","
4:56 p.m. A Shady Grove-bound Red Line train at Forest Glen was offloaded due to an equipment problem. Passengers experienced a 6-minute delay.    "
17,"Daily Service Report for Monday, November 16, 2015","
4:58 p.m. A Glenmont-bound Red Line train at Van Ness was offloaded due to a door problem. Passengers experienced an 18-minute delay.    "
18,"Daily Service Report for Monday, November 16, 2015","
5:56 p.m. A Glenmont-bound Red Line train at Fort Totten was offloaded and turned back for schedule adherence/improved train spacing.  Passengers experienced a 6-minute delay.    "
19,"Daily Service Report for Monday, November 16, 2015","
7:48 p.m. A Shady Grove-bound Red Line train at Rockville was expressed for schedule adherence/improved train spacing.    "
20,"Daily Service Report for Monday, November 16, 2015","
"
21,"Daily Service Report for Monday, November 16, 2015",
22,"Daily Service Report for Monday, November 16, 2015","Report Archives

"
