,Date,Incident
11,"Daily Service Report for Monday, November 23, 2015","
7:31 a.m. A Greenbelt-bound Green Line train at Mt. Vernon Square was offloaded and turned back for schedule adherence/improved train spacing.  Passengers experienced a 6-minute delay.    "
12,"Daily Service Report for Monday, November 23, 2015","
7:55 a.m. A Glenmont-bound Red Line train at Rockville was offloaded due to a door problem. Passengers experienced a 9-minute delay.    "
13,"Daily Service Report for Monday, November 23, 2015","
8:02 a.m. A Greenbelt-bound Yellow Line train at Mt. Vernon Square was offloaded due to a brake problem. Passengers experienced a 6-minute delay.    "
14,"Daily Service Report for Monday, November 23, 2015","
8:34 a.m. A Shady Grove-bound Red Line train at Rhode Island Avenue was delayed 5 minutes due to a medical emergency.     "
15,"Daily Service Report for Monday, November 23, 2015","
8:47 a.m. A Franconia-Springfield-bound Blue Line train at Farragut West was offloaded due to a brake problem. A Vienna-bound Orange Line train at McPherson Square was offloaded and used to recover the disabled train. Passengers experienced a 37-minute delay.    "
16,"Daily Service Report for Monday, November 23, 2015","
8:52 a.m. A Franconia-Springfield-bound Blue Line train at Federal Center was offloaded and turned back for schedule adherence/improved train spacing.  Passengers experienced a 12-minute delay.    "
17,"Daily Service Report for Monday, November 23, 2015","
1:10 p.m. A Vienna-bound Orange Line train at Stadium-Armory was offloaded due to a brake problem. Passengers experienced a 21-minute delay.    "
18,"Daily Service Report for Monday, November 23, 2015","
3:58 p.m. A Largo Town Center-bound Silver Line train at Farragut West was offloaded due to a door problem. Passengers experienced a 7-minute delay.    "
19,"Daily Service Report for Monday, November 23, 2015","
3:59 p.m. A Mt. Vernon Square-bound Yellow Line train at Huntington did not operate, resulting in a 6-minute gap in service.    "
20,"Daily Service Report for Monday, November 23, 2015","
4:19 p.m. A Huntington-bound Yellow Line train at Pentagon was offloaded due to an equipment problem. Passengers experienced an 8-minute delay.    "
21,"Daily Service Report for Monday, November 23, 2015","
5:00 p.m. A Huntington-bound Yellow Line train at Pentagon was offloaded due to an equipment problem. Passengers experienced a 6-minute delay.    "
22,"Daily Service Report for Monday, November 23, 2015","
7:20 p.m. A Franconia-Springfield-bound Blue Line train at Capitol Heights was offloaded due to a person struck by the train. Rail service was temporarily suspended between Addison Road and Stadium-Armory and Capitol Heights station was closed until approximately 8:15 p.m. Shuttle bus service was provided. Several trains were single tracked around the incident train and several trains were offloaded and turned back for schedule adherence/improved train spacing. Passengers experienced delays up to 45 minutes until approximately 10:15 p.m.   "
23,"Daily Service Report for Monday, November 23, 2015",
24,"Daily Service Report for Monday, November 23, 2015","Report Archives

"
0,"Daily Service Report for Sunday, November 22, 2015",7:17 a.m. A Branch Avenue-bound Green Line train at Greenbelt was delayed 4 minutes due to a door problem.    
1,"Daily Service Report for Sunday, November 22, 2015","
7:43 a.m. A New Carrollton-bound Orange Line train at Rosslyn was delayed 8 minutes due to a door problem.    "
2,"Daily Service Report for Sunday, November 22, 2015","
7:44 a.m. A Shady Grove-bound Red Line train at Wheaton was offloaded due to an equipment problem. Passengers experienced a 9-minute delay.    "
3,"Daily Service Report for Sunday, November 22, 2015","
2:40 p.m. A New Carrollton-bound Orange Line train at Stadium-Armory was offloaded due to a door problem. Passengers experienced a 15-minute delay.    "
4,"Daily Service Report for Sunday, November 22, 2015","
3:05 p.m. A Vienna-bound Orange Line train at Rosslyn was offloaded due to a brake problem. Passengers experienced a 15-minute delay.    "
5,"Daily Service Report for Sunday, November 22, 2015","
5:14 p.m. A Shady Grove-bound Red Line train at Wheaton was delayed 5 minutes due to an equipment problem.    "
6,"Daily Service Report for Sunday, November 22, 2015","
8:24 p.m. A Franconia-Springfield-bound Blue Line train at Pentagon City was offloaded due to a brake problem. Passengers experienced a 24-minute delay.    "
7,"Daily Service Report for Sunday, November 22, 2015","
11:55 p.m. A Glenmont-bound Red Line train at Rhode Island Avenue was delayed 21 minutes due to a signal problem.    "
8,"Daily Service Report for Sunday, November 22, 2015","
"
9,"Daily Service Report for Sunday, November 22, 2015","
"
10,"Daily Service Report for Sunday, November 22, 2015",
11,"Daily Service Report for Sunday, November 22, 2015","Report Archives

"
0,"Daily Service Report for Saturday, November 21, 2015",12:13 a.m. A Vienna-bound Orange Line train at Minnesota Avenue was delayed 8 minutes due to a door problem.    
1,"Daily Service Report for Saturday, November 21, 2015","
12:19 a.m. A Shady Grove-bound Red Line train at NoMa-Gallaudet was delayed 20 minutes due to a signal problem.    "
2,"Daily Service Report for Saturday, November 21, 2015","
2:06 a.m. A Largo Town Center-bound Silver Line train at Smithsonian was delayed 5 minutes due to a door problem.    "
3,"Daily Service Report for Saturday, November 21, 2015","
7:18 a.m. A Wiehle-Reston East-bound Silver Line train at Tysons Corner was offloaded due to a brake problem. Passengers experienced a 14-minute delay.    "
4,"Daily Service Report for Saturday, November 21, 2015","
7:49 a.m. A Wiehle-Reston East-bound Silver Line train at Largo Town Center did not operate, resulting in a 15-minute gap in service.    "
5,"Daily Service Report for Saturday, November 21, 2015","
8:07 a.m. A Greenbelt-bound Green Line train at Georgia Avenue was delayed 7 minutes due to police activity.    "
6,"Daily Service Report for Saturday, November 21, 2015","
10:19 a.m. A Shady Grove-bound Red Line train at Judiciary Square was offloaded due to a brake problem. Passengers experienced an 8-minute delay.    "
7,"Daily Service Report for Saturday, November 21, 2015","
3:12 p.m. A Greenbelt-bound Green Line train at Anacostia was offloaded due to a door problem. Passengers experienced a 12-minute delay.    "
8,"Daily Service Report for Saturday, November 21, 2015","
3:45 p.m. A Franconia-Springfield-bound Blue Line train at Metro Center was offloaded due to a brake problem. Passengers experienced a 6-minute delay.    "
9,"Daily Service Report for Saturday, November 21, 2015","
"
10,"Daily Service Report for Saturday, November 21, 2015",
11,"Daily Service Report for Saturday, November 21, 2015","Report Archives

"
0,"Daily Service Report for Friday, November 20, 2015",5:12 a.m. A Wiehle-Reston East-bound Silver Line train at Metro Center was delayed 22 minutes due to unscheduled track maintenance.    
1,"Daily Service Report for Friday, November 20, 2015","
6:11 a.m. A Mt. Vernon Square-bound Yellow Line train at Huntington did not operate, resulting in a 6-minute gap in service.    "
2,"Daily Service Report for Friday, November 20, 2015","
7:57 a.m. A Greenbelt-bound Green Line train at Branch Avenue did not operate, resulting in a 6-minute gap in service.    "
3,"Daily Service Report for Friday, November 20, 2015","
8:48 a.m. A Shady Grove-bound Red Line train at Judiciary Square was offloaded due to a door problem. Passengers experienced an 8-minute delay.    "
4,"Daily Service Report for Friday, November 20, 2015","
10:59 a.m. A Vienna-bound Orange Line train at Stadium-Armory was delayed 9 minutes due to a signal problem.    "
5,"Daily Service Report for Friday, November 20, 2015","
12:58 p.m. A Franconia-Springfield-bound Blue Line train at Benning Road was offloaded due to a brake problem. Passengers experienced a 17-minute delay.    "
6,"Daily Service Report for Friday, November 20, 2015","
2:05 p.m. A Wiehle-Reston East-bound Silver Line train at McPherson Square was offloaded and used to recover a disabled no passenger train. Passengers experienced a 25-minute delay.    "
7,"Daily Service Report for Friday, November 20, 2015","
2:41 p.m. A Shady Grove-bound Red Line train at Tenleytown was offloaded due to an equipment problem. Passengers experienced a 6-minute delay.    "
8,"Daily Service Report for Friday, November 20, 2015","
5:46 p.m. A Wiehle-Reston East-bound Silver Line train at Largo Town Center did not operate, resulting in a 6-minute gap in service.    "
9,"Daily Service Report for Friday, November 20, 2015","
9:54 p.m. A Largo Town Center-bound Blue Line train at Braddock Road was offloaded due to a brake problem. Passengers experienced a 9-minute delay. An extra train was placed in service to mitigate the delay.   "
10,"Daily Service Report for Friday, November 20, 2015",
11,"Daily Service Report for Friday, November 20, 2015","Report Archives

"
0,"Daily Service Report for Thursday, November 19, 2015",6:31 a.m. A Largo Town Center-bound Silver Line train at Tysons Corner was offloaded due to a brake problem. Passengers experienced an 8-minute delay.    
1,"Daily Service Report for Thursday, November 19, 2015","
6:56 a.m. A New Carrollton-bound Orange Line train at Capitol South was delayed 6 minutes due to a medical emergency.     "
2,"Daily Service Report for Thursday, November 19, 2015","
7:07 a.m. A Grosvenor-Strathmore-bound Red Line train at Judiciary Square was offloaded due to a door problem. Passengers experienced a 6-minute delay.    "
3,"Daily Service Report for Thursday, November 19, 2015","
7:19 a.m. A New Carrollton-bound Orange Line train at Cheverly was expressed for schedule adherence/improved train spacing.    "
4,"Daily Service Report for Thursday, November 19, 2015","
7:19 a.m. A Vienna-bound Orange Line train at New Carrollton did not operate, resulting in a 6-minute gap in service.    "
5,"Daily Service Report for Thursday, November 19, 2015","
7:57 a.m. A Greenbelt-bound Green Line train at Branch Avenue did not operate, resulting in a 6-minute gap in service.    "
6,"Daily Service Report for Thursday, November 19, 2015","
8:33 a.m. A Wiehle-Reston East-bound Silver Line train at Largo Town Center did not operate, resulting in a 6-minute gap in service.    "
7,"Daily Service Report for Thursday, November 19, 2015","
8:36 a.m. A New Carrollton-bound Orange Line train at Minnesota Avenue was offloaded due to a door problem. Passengers experienced an 8-minute delay.    "
8,"Daily Service Report for Thursday, November 19, 2015","
8:41 a.m. A Wiehle-Reston East-bound Silver Line train at Largo Town Center did not operate, resulting in a 6-minute gap in service.    "
9,"Daily Service Report for Thursday, November 19, 2015","
8:55 a.m. A Vienna-bound Orange Line train at New Carrollton did not operate, resulting in a 6-minute gap in service.    "
10,"Daily Service Report for Thursday, November 19, 2015","
9:11 a.m. A Vienna-bound Orange Line train at New Carrollton did not operate, resulting in a 6-minute gap in service.    "
11,"Daily Service Report for Thursday, November 19, 2015","
9:45 a.m. A Glenmont-bound Red Line train at Rockville was delayed 4 minutes due to a passenger interfering with door operations.     "
12,"Daily Service Report for Thursday, November 19, 2015","
10:03 a.m. A Glenmont-bound Red Line train at Medical Center was offloaded due to a track problem. Passengers experienced a 12-minute delay.    "
13,"Daily Service Report for Thursday, November 19, 2015","
10:04 a.m. A Silver Spring-bound Red Line train at Medical Center was offloaded and turned back for schedule adherence/improved train spacing.  Passengers experienced a 6-minute delay.    "
14,"Daily Service Report for Thursday, November 19, 2015","
10:46 a.m. A New Carrollton-bound Orange Line train at Cheverly was delayed 4 minutes due to police activity.    "
15,"Daily Service Report for Thursday, November 19, 2015","
1:26 p.m. A Shady Grove-bound Red Line train at NoMa-Gallaudet was offloaded due to a door problem. Passengers experienced a 9-minute delay.    "
16,"Daily Service Report for Thursday, November 19, 2015","
3:39 p.m. A Vienna-bound Orange Line train at Virginia Square was expressed for schedule adherence/improved train spacing.    "
17,"Daily Service Report for Thursday, November 19, 2015","
3:47 p.m. A Largo Town Center-bound Silver Line train at Clarendon was expressed for schedule adherence/improved train spacing.    "
18,"Daily Service Report for Thursday, November 19, 2015","
3:55 p.m. A Shady Grove-bound Red Line train at Glenmont did not operate, resulting in a 6-minute gap in service.    "
19,"Daily Service Report for Thursday, November 19, 2015","
4:40 p.m. A Largo Town Center-bound Silver Line train at Addison Road was expressed for schedule adherence/improved train spacing.    "
20,"Daily Service Report for Thursday, November 19, 2015","
5:15 p.m. A Greenbelt-bound Green Line train at Branch Avenue did not operate, resulting in a 6-minute gap in service.    "
21,"Daily Service Report for Thursday, November 19, 2015","
5:47 p.m. A Silver Spring-bound Red Line train at Friendship Heights was expressed for schedule adherence/improved train spacing.    "
22,"Daily Service Report for Thursday, November 19, 2015","
6:03 p.m. A Silver Spring-bound Red Line train at Gallery Place was offloaded due to a brake problem. Passengers experienced a 7-minute delay.    "
23,"Daily Service Report for Thursday, November 19, 2015","
6:36 p.m. A Vienna-bound Orange Line train at Deanwood was offloaded due to a brake problem. Passengers experienced a 9-minute delay.    "
24,"Daily Service Report for Thursday, November 19, 2015","
10:16 p.m. A Shady Grove-bound Red Line train at Bethesda was offloaded due to a track problem. Passengers experienced a 12-minute delay.    "
25,"Daily Service Report for Thursday, November 19, 2015","
11:36 p.m. A Shady Grove-bound Red Line train at Gallery Place was delayed 4 minutes due to a brake problem.   "
26,"Daily Service Report for Thursday, November 19, 2015",
27,"Daily Service Report for Thursday, November 19, 2015","Report Archives

"
0,"Daily Service Report for Wednesday, November 18, 2015",5:14 a.m. A Franconia-Springfield-bound Blue Line train at Capitol South was delayed 9 minutes due to unscheduled track maintenance.     
1,"Daily Service Report for Wednesday, November 18, 2015","
5:43 a.m. A Mt. Vernon Square-bound Yellow Line train at Huntington was delayed 6 minutes due to an operational problem.    "
2,"Daily Service Report for Wednesday, November 18, 2015","
6:18 a.m. A Largo Town Center-bound Blue Line train at Franconia-Springfield was delayed 6 minutes due to unscheduled track maintenance.    "
3,"Daily Service Report for Wednesday, November 18, 2015","
7:03 a.m. A Vienna-bound Orange Line train at New Carrollton did not operate, resulting in a 6-minute gap in service.    "
4,"Daily Service Report for Wednesday, November 18, 2015","
7:05 a.m. A Vienna-bound Orange Line train at Virginia Square was expressed for schedule adherence/improved train spacing.    "
5,"Daily Service Report for Wednesday, November 18, 2015","
8:22 a.m. A Franconia-Springfield-bound Blue Line train at King Street was offloaded due to a brake problem. Passengers experienced an 8-minute delay.    "
6,"Daily Service Report for Wednesday, November 18, 2015","
8:28 a.m. A Huntington-bound Yellow Line train at King Street was rerouted to Franconia-Springfield for schedule adherence/improved train spacing. Passengers experienced a 6-minute delay.    "
7,"Daily Service Report for Wednesday, November 18, 2015","
8:35 a.m. A Mt. Vernon Square-bound Yellow Line train at Huntington did not operate, resulting in a 6-minute gap in service.    "
8,"Daily Service Report for Wednesday, November 18, 2015","
9:37 a.m. A Huntington-bound Yellow Line train at Greenbelt did not operate, resulting in a 6-minute gap in service.    "
9,"Daily Service Report for Wednesday, November 18, 2015","
12:36 p.m. A Largo Town Center-bound Silver Line train at Morgan Boulevard was delayed 4 minutes due to a signal problem.    "
10,"Daily Service Report for Wednesday, November 18, 2015","
2:45 p.m. A Shady Grove-bound Red Line train at Wheaton was offloaded due to police activity. Passengers experienced a 15-minute delay.    "
11,"Daily Service Report for Wednesday, November 18, 2015","
5:23 p.m. A Branch Avenue-bound Green Line train at Anacostia was offloaded due to a brake problem. Passengers experienced a 3-minute delay.    "
12,"Daily Service Report for Wednesday, November 18, 2015","
5:30 p.m. A Glenmont-bound Red Line train at Van Ness was offloaded due to a brake problem. Passengers experienced a 9-minute delay.    "
13,"Daily Service Report for Wednesday, November 18, 2015","
5:42 p.m. A Shady Grove-bound Red Line train at Brookland was offloaded due to an equipment problem. Passengers experienced a 6-minute delay.    "
14,"Daily Service Report for Wednesday, November 18, 2015","
6:22 p.m. A Grosvenor-Strathmore-bound Red Line train at White Flint was expressed for schedule adherence/improved train spacing.    "
15,"Daily Service Report for Wednesday, November 18, 2015","
7:09 p.m. A Mt. Vernon Square-bound Yellow Line train at L'Enfant Plaza was offloaded due to a brake problem. Passengers experienced a 19-minute delay.    "
16,"Daily Service Report for Wednesday, November 18, 2015","
7:28 p.m. A Vienna-bound Orange Line train at Foggy Bottom was offloaded due to a brake problem. Passengers experienced an 8-minute delay.    "
17,"Daily Service Report for Wednesday, November 18, 2015","
"
18,"Daily Service Report for Wednesday, November 18, 2015",
19,"Daily Service Report for Wednesday, November 18, 2015","Report Archives

"
0,"Daily Service Report for Tuesday, November 17, 2015",5:43 a.m. A Glenmont-bound Red Line train at Gallery Place was delayed 13 minutes due to a medical emergency.     
1,"Daily Service Report for Tuesday, November 17, 2015","
5:43 a.m. A New Carrollton-bound Orange Line train at Stadium-Armory was delayed 5 minutes due to a door problem.    "
2,"Daily Service Report for Tuesday, November 17, 2015","
7:02 a.m. A Shady Grove-bound Red Line train at Union Station was offloaded due to an equipment problem. Passengers experienced a 6-minute delay.    "
3,"Daily Service Report for Tuesday, November 17, 2015","
7:38 a.m. A Shady Grove-bound Red Line train at White Flint was expressed for schedule adherence/improved train spacing.    "
4,"Daily Service Report for Tuesday, November 17, 2015","
7:41 a.m. A Shady Grove-bound Red Line train at Rockville was expressed for schedule adherence/improved train spacing.    "
5,"Daily Service Report for Tuesday, November 17, 2015","
8:13 a.m. A Shady Grove-bound Red Line train at Twinbrook was offloaded due to an equipment problem. Passengers experienced a 6-minute delay.    "
6,"Daily Service Report for Tuesday, November 17, 2015","
9:50 a.m. A New Carrollton-bound Orange Line train at East Falls Church was delayed 6 minutes due to a medical emergency.     "
7,"Daily Service Report for Tuesday, November 17, 2015","
12:09 p.m. A New Carrollton-bound Orange Line train at Stadium-Armory was offloaded due to a brake problem. Passengers experienced a 12-minute delay.    "
8,"Daily Service Report for Tuesday, November 17, 2015","
3:27 p.m. A Largo Town Center-bound Blue Line train at McPherson Square was offloaded due to a medical emergency.  Passengers experienced a 10-minute delay.    "
9,"Daily Service Report for Tuesday, November 17, 2015","
3:47 p.m. A Glenmont-bound Red Line train at Twinbrook was offloaded due to a door problem. Passengers experienced a 5-minute delay.    "
10,"Daily Service Report for Tuesday, November 17, 2015","
5:18 p.m. A Vienna-bound Orange Line train at Ballston was expressed for schedule adherence/improved train spacing.    "
11,"Daily Service Report for Tuesday, November 17, 2015","
5:41 p.m. A Largo Town Center-bound Silver Line train at Wiehle-Reston East was delayed 5 minutes due to an operational problem.    "
12,"Daily Service Report for Tuesday, November 17, 2015","
6:12 p.m. A Shady Grove-bound Red Line train at Twinbrook was offloaded due to a brake problem. Passengers experienced an 8-minute delay.    "
13,"Daily Service Report for Tuesday, November 17, 2015","
6:15 p.m. A Largo Town Center-bound Silver Line train at Ballston was expressed for schedule adherence/improved train spacing.    "
14,"Daily Service Report for Tuesday, November 17, 2015","
6:18 p.m. A Glenmont-bound Red Line train at Shady Grove was delayed 8 minutes due to an operational problem.    "
15,"Daily Service Report for Tuesday, November 17, 2015","
10:02 p.m. A Glenmont-bound Red Line train at Grosvenor was delayed 4 minutes due to a medical emergency.     "
16,"Daily Service Report for Tuesday, November 17, 2015","
"
17,"Daily Service Report for Tuesday, November 17, 2015",
18,"Daily Service Report for Tuesday, November 17, 2015","Report Archives

"
0,"Daily Service Report for Monday, November 16, 2015",5:31 a.m. A Shady Grove-bound Red Line train at Rhode Island Avenue was offloaded due to a brake problem. Passengers experienced an 8-minute delay.    
1,"Daily Service Report for Monday, November 16, 2015","
6:53 a.m. A Greenbelt-bound Yellow Line train at Gallery Place was offloaded due to a brake problem. Passengers experienced a 4-minute delay.    "
2,"Daily Service Report for Monday, November 16, 2015","
7:04 a.m. A Huntington-bound Yellow Line train at Mt. Vernon Square was rerouted to Greenbelt for schedule adherence/improved train spacing. Passengers experienced a 6-minute delay.    "
3,"Daily Service Report for Monday, November 16, 2015","
7:34 a.m. A Wiehle-Reston East-bound Silver Line train at Greensboro did not service the station due to an operational problem.  Passengers experienced an 8-minute delay.    "
4,"Daily Service Report for Monday, November 16, 2015","
7:47 a.m. A Greenbelt-bound Green Line train at Mt. Vernon Square did not service the station due to an operational problem.  Passengers experienced a 6-minute delay.    "
5,"Daily Service Report for Monday, November 16, 2015","
8:00 a.m. A Shady Grove-bound Red Line train at Farragut North was offloaded due to a brake problem. Passengers experienced a 3-minute delay.    "
6,"Daily Service Report for Monday, November 16, 2015","
8:03 a.m. A Greenbelt-bound Yellow Line train at Gallery Place was offloaded due to a brake problem. Passengers experienced a 4-minute delay.    "
7,"Daily Service Report for Monday, November 16, 2015","
8:04 a.m. A Huntington-bound Yellow Line train at Mt. Vernon Square was rerouted to Greenbelt for schedule adherence/improved train spacing. Passengers experienced a 6-minute delay.    "
8,"Daily Service Report for Monday, November 16, 2015","
8:18 a.m. A Glenmont-bound Red Line train at Forest Glen was expressed for schedule adherence/improved train spacing.    "
9,"Daily Service Report for Monday, November 16, 2015","
8:37 a.m. A Shady Grove-bound Red Line train at NoMa-Gallaudet was offloaded due to a brake problem. Passengers experienced a 5-minute delay.    "
10,"Daily Service Report for Monday, November 16, 2015","
9:22 a.m. A Glenmont-bound Red Line train at Union Station was offloaded due to a door problem. Passengers experienced a 5-minute delay.    "
11,"Daily Service Report for Monday, November 16, 2015","
3:40 p.m. A Shady Grove-bound Red Line train at Rockville was offloaded due to a brake problem. Passengers experienced an 8-minute delay.    "
12,"Daily Service Report for Monday, November 16, 2015","
4:02 p.m. A Glenmont-bound Red Line train at Wheaton was expressed for schedule adherence/improved train spacing.    "
13,"Daily Service Report for Monday, November 16, 2015","
4:37 p.m. A Vienna-bound Orange Line train at Dunn Loring was expressed for schedule adherence/improved train spacing.    "
14,"Daily Service Report for Monday, November 16, 2015","
4:39 p.m. A Shady Grove-bound Red Line train at Metro Center was offloaded due to a door problem. Passengers experienced a 7-minute delay.    "
15,"Daily Service Report for Monday, November 16, 2015","
4:40 p.m. A Silver Spring-bound Red Line train at Tenleytown was expressed for schedule adherence/improved train spacing.     "
16,"Daily Service Report for Monday, November 16, 2015","
4:56 p.m. A Shady Grove-bound Red Line train at Forest Glen was offloaded due to an equipment problem. Passengers experienced a 6-minute delay.    "
17,"Daily Service Report for Monday, November 16, 2015","
4:58 p.m. A Glenmont-bound Red Line train at Van Ness was offloaded due to a door problem. Passengers experienced an 18-minute delay.    "
18,"Daily Service Report for Monday, November 16, 2015","
5:56 p.m. A Glenmont-bound Red Line train at Fort Totten was offloaded and turned back for schedule adherence/improved train spacing.  Passengers experienced a 6-minute delay.    "
19,"Daily Service Report for Monday, November 16, 2015","
7:48 p.m. A Shady Grove-bound Red Line train at Rockville was expressed for schedule adherence/improved train spacing.    "
20,"Daily Service Report for Monday, November 16, 2015","
"
21,"Daily Service Report for Monday, November 16, 2015",
22,"Daily Service Report for Monday, November 16, 2015","Report Archives

"
0,"Daily Service Report for Sunday, November 15, 2015",9:04 a.m. A Largo Town Center-bound Silver Line train at Capitol Heights was offloaded due to an equipment problem. Passengers experienced a 4-minute delay.    
1,"Daily Service Report for Sunday, November 15, 2015","
1:16 p.m. A Largo Town Center-bound Silver Line train at Stadium-Armory was offloaded due to a brake problem. Passengers experienced an 8-minute delay.    "
2,"Daily Service Report for Sunday, November 15, 2015","
1:25 p.m. A New Carrollton-bound Orange Line train at Vienna was delayed 6 minutes due to an equipment problem.    "
3,"Daily Service Report for Sunday, November 15, 2015","
3:24 p.m. A Greenbelt-bound Green Line train at Mt. Vernon Square was delayed 6 minutes due to a passenger interfering with door operations.    "
4,"Daily Service Report for Sunday, November 15, 2015","
8:10 p.m. A Glenmont-bound Red Line train at Cleveland Park was offloaded due to a brake problem. Passengers experienced a 24-minute delay.    "
5,"Daily Service Report for Sunday, November 15, 2015","
9:32 p.m. A Shady Grove-bound Red Line train at Bethesda was offloaded due to a brake problem. Passengers experienced a 15-minute delay.    "
